epsilon,m,p_formula,p_numeric,p_block_diag,abs_error
0.1275,0.1275,0.833532232325453,0.8335322323254531,0.5,1.1102230246251565e-16
0.13,0.13,0.8363034344160047,0.8363034344160047,0.5,0.0
0.1325,0.1325,0.8390335529118025,0.8390335529118026,0.5,1.1102230246251565e-16
0.135,0.135,0.8417235724968355,0.8417235724968357,0.5,2.220446049250313e-16
0.1375,0.1375,0.8443744328488978,0.8443744328488978,0.5,0.0
0.14,0.14,0.8469870314579495,0.8469870314579495,0.5,0.0
0.14250000000000002,0.14250000000000002,0.8495622262201681,0.8495622262201681,0.5,0.0
0.145,0.145,0.852100837829165,0.852100837829165,0.5,0.0
0.1475,0.1475,0.8546036519834503,0.8546036519834505,0.5,1.1102230246251565e-16
0.15,0.15,0.8570714214271424,0.8570714214271424,0.5,0.0
0.1525,0.1525,0.8595048678390877,0.859504867839088,0.5,2.220446049250313e-16
0.155,0.155,0.8619046835839514,0.8619046835839514,0.5,0.0
0.1575,0.1575,0.8642715333374267,0.8642715333374268,0.5,1.1102230246251565e-16
0.16,0.16,0.8666060555964672,0.8666060555964674,0.5,2.220446049250313e-16
0.1625,0.1625,0.8689088640843426,0.8689088640843428,0.5,1.1102230246251565e-16
0.165,0.165,0.8711805490593493,0.8711805490593494,0.5,1.1102230246251565e-16
0.1675,0.1675,0.8734216785351381,0.8734216785351381,0.5,0.0
0.17,0.17,0.8756327994198589,0.8756327994198589,0.5,0.0
0.17250000000000001,0.17250000000000001,0.8778144385806345,0.8778144385806346,0.5,1.1102230246251565e-16
0.17500000000000002,0.17500000000000002,0.8799671038392666,0.8799671038392666,0.5,0.0
0.1775,0.1775,0.8820912849045369,0.882091284904537,0.5,1.1102230246251565e-16
0.18,0.18,0.8841874542459709,0.8841874542459709,0.5,0.0
0.1825,0.1825,0.8862560679135021,0.8862560679135023,0.5,2.220446049250313e-16
0.185,0.185,0.8882975663070785,0.8882975663070785,0.5,0.0
0.1875,0.1875,0.8903123748998999,0.8903123748999,0.5,1.1102230246251565e-16
0.19,0.19,0.8923009049186607,0.8923009049186607,0.5,0.0
0.1925,0.1925,0.8942635539838801,0.8942635539838802,0.5,1.1102230246251565e-16
0.195,0.195,0.8962007067131506,0.8962007067131507,0.5,1.1102230246251565e-16
0.1975,0.1975,0.8981127352898925,0.8981127352898925,0.5,0.0
0.2,0.2,0.9,0.9,0.5,0.0
0.2025,0.2025,0.9018628497385645,0.9018628497385645,0.5,0.0
0.20500000000000002,0.20500000000000002,0.9037016224886891,0.9037016224886891,0.5,0.0
0.20750000000000002,0.20750000000000002,0.9055166457742518,0.9055166457742518,0.5,0.0
0.21,0.21,0.9073082370883261,0.9073082370883261,0.5,0.0
0.2125,0.2125,0.9090767042988392,0.9090767042988392,0.5,0.0
0.215,0.215,0.9108223460329294,0.9108223460329296,0.5,1.1102230246251565e-16
0.2175,0.2175,0.9125454520413478,0.9125454520413478,0.5,0.0
0.22,0.22,0.9142463035441596,0.9142463035441596,0.5,0.0
0.2225,0.2225,0.9159251735588987,0.9159251735588989,0.5,2.220446049250313e-16
0.225,0.225,0.9175823272122516,0.9175823272122516,0.5,0.0
0.2275,0.2275,0.9192180220362669,0.9192180220362671,0.5,2.220446049250313e-16
0.23,0.23,0.9208325082500163,0.9208325082500163,0.5,0.0
0.2325,0.2325,0.9224260290275683,0.9224260290275684,0.5,1.1102230246251565e-16
0.23500000000000001,0.23500000000000001,0.9239988207530772,0.9239988207530773,0.5,1.1102230246251565e-16
0.23750000000000002,0.23750000000000002,0.92555111326373,0.9255511132637301,0.5,1.1102230246251565e-16
0.24,0.24,0.9270831300812525,0.9270831300812524,0.5,1.1102230246251565e-16
0.2425,0.2425,0.9285950886326161,0.928595088632616,0.5,1.1102230246251565e-16
0.245,0.245,0.9300872004605578,0.9300872004605578,0.5,0.0
0.2475,0.2475,0.931559671424474,0.9315596714244742,0.5,1.1102230246251565e-16
0.25,0.25,0.9330127018922193,0.9330127018922194,0.5,1.1102230246251565e-16
0.2525,0.2525,0.9344464869233033,0.9344464869233033,0.5,0.0
0.255,0.255,0.9358612164439502,0.9358612164439503,0.5,1.1102230246251565e-16
0.2575,0.2575,0.9372570754144522,0.9372570754144525,0.5,2.220446049250313e-16
0.26,0.26,0.9386342439892261,0.9386342439892263,0.5,2.220446049250313e-16
0.2625,0.2625,0.939992897669951,0.9399928976699512,0.5,2.220446049250313e-16
0.265,0.265,0.9413332074521472,0.9413332074521472,0.5,0.0
0.2675,0.2675,0.9426553399655312,0.9426553399655313,0.5,1.1102230246251565e-16
0.27,0.27,0.9439594576084622,0.9439594576084624,0.5,2.220446049250313e-16
0.2725,0.2725,0.9452457186767774,0.9452457186767775,0.5,1.1102230246251565e-16
0.275,0.275,0.9465142774872938,0.9465142774872939,0.5,1.1102230246251565e-16
0.2775,0.2775,0.9477652844962414,0.9477652844962414,0.5,0.0
0.28,0.28,0.9489988864128729,0.9489988864128731,0.5,2.220446049250313e-16
0.28250000000000003,0.28250000000000003,0.9502152263084847,0.9502152263084849,0.5,2.220446049250313e-16
0.28500000000000003,0.28500000000000003,0.9514144437210665,0.9514144437210666,0.5,1.1102230246251565e-16
0.28750000000000003,0.28750000000000003,0.9525966747557918,0.9525966747557919,0.5,1.1102230246251565e-16
0.29,0.29,0.9537620521815371,0.9537620521815371,0.5,0.0
0.2925,0.2925,0.9549107055236226,0.9549107055236226,0.5,0.0
0.295,0.295,0.9560427611529427,0.9560427611529427,0.5,0.0
0.2975,0.2975,0.9571583423716558,0.9571583423716559,0.5,1.1102230246251565e-16
0.3,0.3,0.9582575694955839,0.9582575694955842,0.5,2.220446049250313e-16
0.3025,0.3025,0.9593405599334768,0.959340559933477,0.5,2.220446049250313e-16
0.305,0.305,0.9604074282632721,0.9604074282632721,0.5,0.0
0.3075,0.3075,0.9614582863054905,0.9614582863054906,0.5,1.1102230246251565e-16
0.31,0.31,0.9624932431938871,0.9624932431938872,0.5,1.1102230246251565e-16
0.3125,0.3125,0.9635124054434789,0.9635124054434789,0.5,0.0
0.315,0.315,0.9645158770160607,0.9645158770160607,0.5,0.0
0.3175,0.3175,0.9655037593833158,0.965503759383316,0.5,2.220446049250313e-16
0.32,0.32,0.966476151587624,0.9664761515876242,0.5,2.220446049250313e-16
0.3225,0.3225,0.9674331503006607,0.9674331503006607,0.5,0.0
0.325,0.325,0.9683748498798799,0.9683748498798798,0.5,1.1102230246251565e-16
0.3275,0.3275,0.9693013424229682,0.9693013424229682,0.5,0.0
0.33,0.33,0.9702127178203499,0.9702127178203499,0.5,0.0
0.3325,0.3325,0.9711090638058241,0.9711090638058242,0.5,1.1102230246251565e-16
0.335,0.335,0.9719904660054057,0.9719904660054057,0.5,0.0
0.3375,0.3375,0.9728570079844434,0.9728570079844434,0.5,0.0
0.34,0.34,0.9737087712930804,0.9737087712930806,0.5,2.220446049250313e-16
0.3425,0.3425,0.9745458355101222,0.9745458355101224,0.5,2.220446049250313e-16
0.34500000000000003,0.34500000000000003,0.9753682782853732,0.9753682782853732,0.5,0.0
0.34750000000000003,0.34750000000000003,0.9761761753804993,0.9761761753804994,0.5,1.1102230246251565e-16
0.35000000000000003,0.35000000000000003,0.9769696007084728,0.9769696007084729,0.5,1.1102230246251565e-16
0.3525,0.3525,0.9777486263716516,0.9777486263716517,0.5,1.1102230246251565e-16
0.355,0.355,0.978513322698543,0.978513322698543,0.5,0.0
0.3575,0.3575,0.9792637582793007,0.9792637582793009,0.5,2.220446049250313e-16
0.36,0.36,0.98,0.98,0.5,0.0
0.3625,0.3625,0.9807221130757353,0.9807221130757352,0.5,1.1102230246251565e-16
0.365,0.365,0.9814301610825811,0.9814301610825813,0.5,2.220446049250313e-16
0.3675,0.3675,0.982124205988457,0.982124205988457,0.5,0.0
0.37,0.37,0.9828043081829325,0.9828043081829324,0.5,1.1102230246251565e-16
0.3725,0.3725,0.9834705265060115,0.9834705265060115,0.5,0.0
0.375,0.375,0.9841229182759271,0.984122918275927,0.5,1.1102230246251565e-16
0.3775,0.3775,0.9847615393159816,0.9847615393159818,0.5,1.1102230246251565e-16
0.38,0.38,0.9853864439804638,0.9853864439804639,0.5,1.1102230246251565e-16
0.3825,0.3825,0.9859976851796723,0.9859976851796725,0.5,1.1102230246251565e-16
0.385,0.385,0.9865953144040744,0.9865953144040744,0.5,0.0
0.3875,0.3875,0.9871793817476269,0.987179381747627,0.5,1.1102230246251565e-16
0.39,0.39,0.9877499359302879,0.987749935930288,0.5,1.1102230246251565e-16
0.3925,0.3925,0.9883070243197408,0.9883070243197409,0.5,1.1102230246251565e-16
0.395,0.395,0.9888506929523574,0.9888506929523575,0.5,1.1102230246251565e-16
0.3975,0.3975,0.9893809865534214,0.9893809865534213,0.5,1.1102230246251565e-16
0.4,0.4,0.9898979485566356,0.9898979485566357,0.5,1.1102230246251565e-16
0.4025,0.4025,0.9904016211229323,0.9904016211229324,0.5,1.1102230246251565e-16
