state_id,rank,L,C,C_envelope,violation
150,1,0.4868836355464211,0.4998279313759096,0.4998279313759095,1.1102230246251565e-16
151,1,0.5649743005383319,0.49576036577116034,0.49576036577116017,1.6653345369377348e-16
152,1,0.486942429155328,0.49982947076341583,0.4998294707634159,-5.551115123125783e-17
153,1,0.7209592436265357,0.4485276052329324,0.4485276052329324,0.0
154,1,0.46603410551587854,0.4988449839498176,0.49884498394981736,2.220446049250313e-16
155,1,0.50930049774397,0.4999134932582981,0.49991349325829804,5.551115123125783e-17
156,1,0.570599043001796,0.494990681858993,0.49499068185899275,2.220446049250313e-16
157,1,0.364618844218576,0.48132311668907585,0.4813231166890759,-5.551115123125783e-17
158,1,0.7457010919573253,0.4354663860862031,0.435466386086203,1.1102230246251565e-16
159,1,0.5257093213712992,0.4993385933358519,0.4993385933358519,0.0
160,1,0.20334665906610533,0.4024882548755409,0.402488254875541,-1.1102230246251565e-16
161,1,0.3639567763509603,0.4811364061253082,0.481136406125308,2.220446049250313e-16
162,1,0.813321402470173,0.38965330584267344,0.3896533058426732,2.220446049250313e-16
163,1,0.7595922476101508,0.4273310952653814,0.42733109526538104,3.3306690738754696e-16
164,1,0.6672513845511134,0.471197383657566,0.47119738365756614,-1.1102230246251565e-16
165,1,0.4028524505453814,0.49047156251403845,0.4904715625140385,-5.551115123125783e-17
166,1,0.557672298284219,0.4966627688991961,0.49666276889919586,2.220446049250313e-16
167,1,0.7233709721344874,0.4473314306056462,0.4473314306056462,0.0
168,1,0.5229357437542075,0.4994736746400569,0.4994736746400568,5.551115123125783e-17
169,1,0.41005938164484407,0.4918441675672208,0.4918441675672206,2.220446049250313e-16
170,1,0.34682498079793905,0.47595946622842616,0.47595946622842605,1.1102230246251565e-16
171,1,0.5015610799004977,0.4999975630236053,0.49999756302360543,-1.1102230246251565e-16
172,1,0.3889576910407426,0.48751369788037424,0.4875136978803743,-5.551115123125783e-17
173,1,0.4763346880411423,0.49943963900544586,0.49943963900544575,1.1102230246251565e-16
174,1,0.5917441725537731,0.4915109427087291,0.491510942708729,5.551115123125783e-17
175,1,0.8173271201260929,0.386398109250654,0.3863981092506539,1.1102230246251565e-16
176,1,0.5740285499282173,0.4944894071621002,0.4944894071621003,-1.1102230246251565e-16
177,1,0.3560255063235735,0.4788228745273317,0.47882287452733147,2.220446049250313e-16
178,1,0.4333029027727292,0.49553152999729094,0.4955315299972909,5.551115123125783e-17
179,1,0.2515957438738984,0.4339300929164032,0.43393009291640294,2.7755575615628914e-16
180,1,0.25278069671385395,0.4346062770861836,0.43460627708618355,5.551115123125783e-17
181,1,0.586549564228287,0.492452203702952,0.4924522037029519,1.1102230246251565e-16
182,1,0.5892807799127592,0.4919643710048214,0.4919643710048213,5.551115123125783e-17
183,1,0.41095621379571434,0.4920073212243956,0.49200732122439544,1.6653345369377348e-16
184,1,0.5990952664006156,0.49008175662535236,0.4900817566253523,5.551115123125783e-17
185,1,0.5631914011426672,0.4959907729198462,0.4959907729198463,-5.551115123125783e-17
186,1,0.6993420512180667,0.45854415994119235,0.45854415994119224,1.1102230246251565e-16
187,1,0.5065663350841603,0.4999568813843478,0.4999568813843475,2.7755575615628914e-16
188,1,0.2661390805848368,0.4419378580414838,0.44193785804148367,1.1102230246251565e-16
189,1,0.6970678314964727,0.45952613613294946,0.4595261361329493,1.6653345369377348e-16
190,1,0.5134320426354267,0.49981954766759606,0.4998195476675958,2.7755575615628914e-16
191,1,0.338910130929485,0.4733392589706082,0.473339258970608,1.6653345369377348e-16
192,1,0.33566330982657644,0.47222182527160306,0.47222182527160284,2.220446049250313e-16
193,1,0.3065308660985868,0.46105281067079196,0.46105281067079185,1.1102230246251565e-16
194,1,0.7868307752603758,0.40954622005767777,0.4095462200576777,5.551115123125783e-17
195,1,0.7525361174168285,0.43153853756070704,0.4315385375607071,-5.551115123125783e-17
196,1,0.28703318975704,0.4523772073556968,0.4523772073556968,0.0
197,1,0.6735116999743354,0.4689282354177624,0.46892823541776224,1.6653345369377348e-16
198,1,0.18844837295116415,0.39106979387728624,0.3910697938772862,5.551115123125783e-17
199,1,0.48575226988672515,0.4997969609617682,0.49979696096176823,-5.551115123125783e-17
200,2,0.4013868252265434,0.485213150873804,0.4901789895141363,-0.004965838640332287
201,2,0.4480719319048645,0.4528383519340473,0.49729616502030954,-0.04445781308626223
202,2,0.45250920968737185,0.4267757373557259,0.49773951504324226,-0.07096377768751638
203,2,0.6421355543160263,0.4687114848383728,0.47937196851638697,-0.010660483678014143
204,2,0.35488057997061756,0.3051753368464177,0.4784771195473569,-0.1733017827009392
205,2,0.5978889223113357,0.4806753762388149,0.49032413655532525,-0.009648760316510352
206,2,0.30316320241905825,0.43535509978622355,0.45962514630737883,-0.024270046521155275
207,2,0.499245775208084,0.3879909514474715,0.4999994311446397,-0.1120084796971682
208,2,0.35020677581719784,0.4512954002923315,0.47703457944778044,-0.025739179155448932
209,2,0.5289550529497311,0.44838862315661526,0.4991609008212465,-0.050772277664631216
210,2,0.47580031925641453,0.49468354607273224,0.4994140320935211,-0.004730486020788849
211,2,0.5444134226786457,0.4629580088020139,0.49802354149775685,-0.035065532695742974
212,2,0.5070653053390516,0.49554539947105924,0.4999500789683566,-0.004404679497297337
213,2,0.5386967256492301,0.4965013334980304,0.49850031436703046,-0.0019989808690000777
214,2,0.4849972559953846,0.4594489992580958,0.49977486698745865,-0.04032586772936286
215,2,0.40855605811544526,0.4618148679721654,0.49156688811657584,-0.029752020144410418
216,2,0.3910315476048053,0.48113452392440725,0.4879814303665624,-0.006846906442155132
217,2,0.6116691636981884,0.48364086135432066,0.4873704934430758,-0.0037296320887551526
218,2,0.46573658695302356,0.47465240086780586,0.49882463704830404,-0.024172236180498186
219,2,0.47230925570956817,0.4688163226982069,0.49923263382980276,-0.030416311131595875
220,2,0.4847171742719508,0.47813522458571167,0.4997663806597699,-0.021631156074058244
221,2,0.492373770534819,0.3589905657435449,0.4999418372412379,-0.14095127149769304
222,2,0.45674995218934,0.40376926483718273,0.49812592119300075,-0.09435665635581802
223,2,0.5484018613166279,0.4711849705971217,0.49765174552199243,-0.026466774924870706
224,2,0.30828685143762646,0.4452180969944419,0.4617857389182794,-0.016567641923837473
225,2,0.4446096260722494,0.45929257785616584,0.49692243507024714,-0.0376298572140813
226,2,0.6165555681758774,0.4197400662543923,0.48622505028761975,-0.06648498403322745
227,2,0.34180290269523994,0.4292952971903811,0.47431390281579167,-0.045018605625410546
228,2,0.36799386324376765,0.4669307780857264,0.4822596602025665,-0.015328882116840081
229,2,0.6194028560193634,0.4457290892652973,0.4855336836661481,-0.03980459440085077
230,2,0.5827174076602775,0.4831144638977153,0.4931103633771688,-0.009995899479453507
231,2,0.3658304470157523,0.4349795345228693,0.48166225828064124,-0.04668272375777194
232,2,0.4211380477756076,0.4865390022565383,0.49374162523667947,-0.007202622980141182
233,2,0.490983942324448,0.4457139648723645,0.49991870409496697,-0.054204739222602494
234,2,0.6635600101097792,0.46890254612354676,0.472491400020031,-0.003588853896484223
235,2,0.38766599624132375,0.4857009765756104,0.48721768399714893,-0.0015167074215385323
236,2,0.6161606922017691,0.4841117262409646,0.4863195385620506,-0.0022078123210860223
237,2,0.5038495092531063,0.4928248912142945,0.4999851810589092,-0.007160289844614698
238,2,0.6327348394571981,0.48013421139094314,0.4820596046074301,-0.001925393216486937
239,2,0.4182006908562827,0.4613765533974933,0.4932634924901807,-0.031886939092687416
240,2,0.5087490461521402,0.49308169724033685,0.4999234483312697,-0.006841751090932879
241,2,0.569803562157612,0.487192244920724,0.49510348686926897,-0.007911241948544978
242,2,0.551462307322678,0.397970688697246,0.49734457966788603,-0.09937389097064003
243,2,0.5428882850315958,0.47744444616569404,0.49815719909186157,-0.020712752926167532
244,2,0.5569927683699797,0.4505000796756584,0.4967412046061066,-0.046241124930448185
245,2,0.32787027942342317,0.4541111394334665,0.46943727940400043,-0.015326139970533947
246,2,0.32227864859005306,0.4578884591267024,0.4673490357891221,-0.009460576662419728
247,2,0.49342020810874443,0.450686979269263,0.49995670446416435,-0.04926972519490136
248,2,0.48996029190990764,0.47664862947062836,0.4998991940996362,-0.02325056462900782
249,2,0.5848610114083033,0.4636657595901578,0.492745988053439,-0.029080228463281177
250,2,0.6161354579515359,0.47103300587094876,0.4863255652403923,-0.015292559369443515
251,2,0.42281542202275973,0.4863374474153547,0.4940066203225168,-0.007669172907162125
252,2,0.35864731832362795,0.46608765420451437,0.47960339801016655,-0.01351574380565218
253,2,0.6514872431164234,0.4744522949018527,0.47649933386415727,-0.0020470389623045704
254,2,0.5008774162857226,0.4932844748780451,0.49999923014006886,-0.006714755262023753
255,2,0.4745043049704117,0.4695802032582731,0.4993495464451312,-0.029769343186858088
256,2,0.5194483801432923,0.48170182360216257,0.49962161733636185,-0.017919793734199274
257,2,0.5430970382430957,0.496475892995232,0.498139182653476,-0.001663289658244027
